master_protein	protein_length	protein_description	Intensity.U2OS_1	Intensity.U2OS_2	Intensity.U2OS_3	max
P18847	181	sp|P18847|ATF3_HUMAN	5.528505	NA	NA	5.528505
P18850	670	sp|P18850|ATF6A_HUMAN	NA	NA	6.7677585	6.7677585
P18858	919	sp|P18858|DNLI1_HUMAN	6.644639	6.988425	7.17612	7.17612
P18859	108	sp|P18859|ATP5J_HUMAN	7.394854	7.582166	8.002036	8.002036
P18887	633	sp|P18887|XRCC1_HUMAN	7.093071	7.183355	6.928007	7.183355
P19021	973	sp|P19021|AMD_HUMAN	5.422787	6.452875	6.749589	6.749589
P19022	906	sp|P19022|CADH2_HUMAN	6.77263	6.280768	7.063746	7.063746
P19174	1290	sp|P19174|PLCG1_HUMAN	6.3861525	6.927771	7.27545	7.27545
P19256	250	sp|P19256|LFA3_HUMAN	7.33393	NA	NA	7.33393
P19338	710	sp|P19338|NUCL_HUMAN	7.839433	8.243241	8.821397	8.821397
P19367	917	sp|P19367|HXK1_HUMAN	7.2737995	7.2587475	8.021065	8.021065
P19387	275	sp|P19387|RPB3_HUMAN	7.2034965	7.143857	7.384509	7.384509
P19388	210	sp|P19388|RPAB1_HUMAN	7.068437	6.9390405	7.5233865	7.5233865
P19404	249	sp|P19404|NDUV2_HUMAN	6.839365	7.661444	7.441585	7.661444
P19419	428	sp|P19419|ELK1_HUMAN	NA	6.087427	6.894825	6.894825
P19438	455	sp|P19438|TNR1A_HUMAN	NA	NA	6.352588	6.352588
P19440	569	sp|P19440|GGT1_HUMAN	6.247801	NA	NA	6.247801
P19447	782	sp|P19447|ERCC3_HUMAN	6.3974235	6.576894	6.635434	6.635434
P19474	475	sp|P19474|RO52_HUMAN	6.6828715	6.973497	7.154058	7.154058
P19525	551	sp|P19525|E2AK2_HUMAN	7.210292	7.348675	7.720973	7.720973
P19623	302	sp|P19623|SPEE_HUMAN	7.353666	7.387835	7.8346005	7.8346005
P19634	815	sp|P19634|SL9A1_HUMAN	5.985382	NA	6.940955	6.940955
P19784	350	sp|P19784|CSK22_HUMAN	7.258661	7.228683	8.143555	8.143555
P19793	462	sp|P19793|RXRA_HUMAN	6.602787	6.749968	7.078566	7.078566
P19823	946	sp|P19823|ITIH2_HUMAN	NA	NA	6.993158	6.993158
P19838	968	sp|P19838|NFKB1_HUMAN	6.826524	7.0603355	7.063221	7.063221
P19878	526	sp|P19878|NCF2_HUMAN	6.235831	6.4903675	6.378325	6.4903675
P20020	1258	sp|P20020|AT2B1_HUMAN	6.824614	6.636021	7.068446	7.068446
P20042	333	sp|P20042|IF2B_HUMAN	7.33288	6.5474405	7.306354	7.33288
P20073	488	sp|P20073|ANXA7_HUMAN	7.370522	7.5128765	7.924083	7.924083
P20226	339	sp|P20226|TBP_HUMAN	NA	6.805773	7.242989	7.242989
P20248	432	sp|P20248|CCNA2_HUMAN	6.2066635	NA	NA	6.2066635
P20290	206	sp|P20290|BTF3_HUMAN	7.297837	7.447267	6.918565	7.447267
P20337	219	sp|P20337|RAB3B_HUMAN	7.031368	6.710777	5.9013705	7.031368
P20338	218	sp|P20338|RAB4A_HUMAN	6.6961215	6.4850585	6.681675	6.6961215
P20339	215	sp|P20339|RAB5A_HUMAN	5.745325	6.999135	7.208968	7.208968
P20340	208	sp|P20340|RAB6A_HUMAN	6.8019825	NA	6.639058	6.8019825
P20585	1137	sp|P20585|MSH3_HUMAN	6.28859	6.048364	6.8909015	6.8909015
P20591	662	sp|P20591|MX1_HUMAN	NA	NA	6.312283	6.312283
P20594	1047	sp|P20594|ANPRB_HUMAN	5.877984	NA	6.87289	6.87289
P20618	241	sp|P20618|PSB1_HUMAN	7.810575	8.3257465	8.001352	8.3257465
P20645	277	sp|P20645|MPRD_HUMAN	6.583885	7.006124	7.170262	7.170262
P20674	150	sp|P20674|COX5A_HUMAN	7.800312	8.029749	8.364007	8.364007
P20700	586	sp|P20700|LMNB1_HUMAN	7.939504	8.184663	8.227501	8.227501
P20810	708	sp|P20810|ICAL_HUMAN	6.860156	6.905046	7.164708	7.164708
P20839	514	sp|P20839|IMDH1_HUMAN	6.7555105	7.0505235	7.4458425	7.4458425
P20851	252	sp|P20851|C4BPB_HUMAN	7.380483	NA	NA	7.380483
P20908	1838	sp|P20908|CO5A1_HUMAN	6.5370065	6.674098	7.00891	7.00891
P20933	346	sp|P20933|ASPG_HUMAN	6.716689	6.681865	6.944137	6.944137
P20936	1047	sp|P20936|RASA1_HUMAN	6.2506175	6.729132	6.9518185	6.9518185
P20962	102	sp|P20962|PTMS_HUMAN	7.7084705	7.629043	7.112236	7.7084705
P21127	795	sp|P21127|CD11B_HUMAN	6.812472	NA	7.285107	7.285107
P21266	225	sp|P21266|GSTM3_HUMAN	7.1784025	7.3299305	7.4784155	7.4784155
P21281	511	sp|P21281|VATB2_HUMAN	7.1634505	7.585791	7.8168385	7.8168385
P21283	382	sp|P21283|VATC1_HUMAN	7.016445	7.257246	7.5747925	7.5747925
P21291	193	sp|P21291|CSRP1_HUMAN	7.945355	8.039724	8.4355475	8.4355475
P21333	2647	sp|P21333|FLNA_HUMAN	8.136117	8.260288	8.58415	8.58415
P21359	2839	sp|P21359|NF1_HUMAN	6.559512	6.6344415	6.9655105	6.9655105
P21397	527	sp|P21397|AOFA_HUMAN	7.142515	7.2600305	7.453161	7.453161
P21399	889	sp|P21399|ACOC_HUMAN	7.1169035	7.4050305	7.822767	7.822767
P21675	1872	sp|P21675|TAF1_HUMAN	NA	6.742136	NA	6.742136
P21796	283	sp|P21796|VDAC1_HUMAN	7.372894	7.734287	8.2697465	8.2697465
P21912	280	sp|P21912|SDHB_HUMAN	6.698257	6.858892	7.351468	7.351468
P21926	228	sp|P21926|CD9_HUMAN	7.5073415	7.212081	7.696159	7.696159
P21953	392	sp|P21953|ODBB_HUMAN	5.691771	NA	7.077077	7.077077
P21964	271	sp|P21964|COMT_HUMAN	6.861054	7.1476875	7.751587	7.751587
P21980	687	sp|P21980|TGM2_HUMAN	7.1011275	7.2674635	7.8158745	7.8158745
P22033	750	sp|P22033|MUTA_HUMAN	6.7425085	6.8533555	7.162624	7.162624
P22059	807	sp|P22059|OSBP1_HUMAN	6.952366	7.2176185	7.412729	7.412729
P22061	227	sp|P22061|PIMT_HUMAN	7.749265	7.62632	7.647022	7.749265
P22087	321	sp|P22087|FBRL_HUMAN	7.664322	8.000217	7.4525145	8.000217
P22102	1010	sp|P22102|PUR2_HUMAN	7.208387	7.611986	7.750146	7.750146
P22234	425	sp|P22234|PUR6_HUMAN	7.799816	7.531875	8.604021	8.604021
P22304	550	sp|P22304|IDS_HUMAN	NA	6.152917	6.692106	6.692106
P22307	547	sp|P22307|NLTP_HUMAN	7.107636	7.8469025	7.883142	7.883142
P22314	1058	sp|P22314|UBA1_HUMAN	7.503123	7.998713	8.2499485	8.2499485
P22392	152	sp|P22392|NDKB_HUMAN	8.120343	6.016825	7.98431	8.120343
P22413	925	sp|P22413|ENPP1_HUMAN	NA	5.945349	6.389591	6.389591
P22570	491	sp|P22570|ADRO_HUMAN	7.4067535	7.1737975	7.864262	7.864262
P22626	353	sp|P22626|ROA2_HUMAN	8.198355	8.637806	8.6571235	8.6571235
P22670	979	sp|P22670|RFX1_HUMAN	6.605635	6.3659715	6.444119	6.605635
P22676	271	sp|P22676|CALB2_HUMAN	7.792371	7.738106	8.177248	8.177248
P22681	906	sp|P22681|CBL_HUMAN	6.699161	6.957502	6.9698695	6.9698695
P22694	351	sp|P22694|KAPCB_HUMAN	6.278708	6.428507	6.973363	6.973363
P22695	453	sp|P22695|QCR2_HUMAN	7.453682	7.563542	7.8833305	7.8833305
P22830	423	sp|P22830|HEMH_HUMAN	6.843096	6.9425215	7.10922	7.10922
P23025	273	sp|P23025|XPA_HUMAN	NA	NA	6.064757	6.064757
P23193	301	sp|P23193|TCEA1_HUMAN	6.995929	7.497787	7.7862655	7.7862655
P23229	1130	sp|P23229|ITA6_HUMAN	6.474216	6.744081	6.9963975	6.9963975
P23246	707	sp|P23246|SFPQ_HUMAN	7.9750965	7.885118	8.102794	8.102794
P23258	451	sp|P23258|TBG1_HUMAN	6.5456515	6.11868	7.103804	7.103804
P23284	216	sp|P23284|PPIB_HUMAN	8.177046	8.6424515	8.916607	8.916607
P23368	584	sp|P23368|MAOM_HUMAN	7.156095	7.574344	7.562376	7.574344
P23378	1020	sp|P23378|GCSP_HUMAN	NA	NA	6.132836	6.132836
P23381	471	sp|P23381|SYWC_HUMAN	7.4454785	7.161783	7.7555575	7.7555575
P23396	243	sp|P23396|RS3_HUMAN	8.1938285	8.5607925	8.908287	8.908287
P23434	173	sp|P23434|GCSH_HUMAN	7.576583	6.548082	8.055951	8.055951
P23443	525	sp|P23443|KS6B1_HUMAN	5.862817	6.561817	6.311054	6.561817
P23458	1154	sp|P23458|JAK1_HUMAN	6.200111	6.575107	6.617514	6.617514
P23470	1445	sp|P23470|PTPRG_HUMAN	6.475521	6.347193	6.634175	6.634175
P23497	879	sp|P23497|SP100_HUMAN	6.40059	6.8263545	6.6741345	6.8263545
P23508	829	sp|P23508|CRCM_HUMAN	NA	7.839208	6.329337	7.839208
P23511	347	sp|P23511|NFYA_HUMAN	6.489142	7.270609	7.2064695	7.270609
P23526	432	sp|P23526|SAHH_HUMAN	8.121031	8.390587	8.7521285	8.7521285
P23528	166	sp|P23528|COF1_HUMAN	7.994845	8.521475	8.2132335	8.521475
P23588	611	sp|P23588|IF4B_HUMAN	7.209897	6.8797405	7.954464	7.954464
P23610	371	sp|P23610|F8I2_HUMAN	5.803853	5.997338	6.699404	6.699404
P23634	1241	sp|P23634|AT2B4_HUMAN	6.523699	5.99262	6.888483	6.888483
P23677	461	sp|P23677|IP3KA_HUMAN	NA	5.768838	NA	5.768838
P23743	735	sp|P23743|DGKA_HUMAN	6.612678	NA	6.906971	6.906971
P23786	658	sp|P23786|CPT2_HUMAN	6.149404	6.081311	6.7984835	6.7984835
P23919	212	sp|P23919|KTHY_HUMAN	7.3904825	7.028531	7.7870445	7.7870445
P23921	792	sp|P23921|RIR1_HUMAN	7.2187625	7.21608	7.5781895	7.5781895
P24385	295	sp|P24385|CCND1_HUMAN	6.028721	NA	6.6773085	6.6773085
P24386	653	sp|P24386|RAE1_HUMAN	6.713037	6.8433245	7.174525	7.174525
P24390	212	sp|P24390|ERD21_HUMAN	6.179609	6.273765	7.270259	7.270259
P24468	414	sp|P24468|COT2_HUMAN	NA	NA	6.59674	6.59674
P24534	225	sp|P24534|EF1B_HUMAN	8.181214	8.275933	8.102125	8.275933
P24539	256	sp|P24539|AT5F1_HUMAN	7.8385395	7.5781	8.061942	8.061942
P24557	533	sp|P24557|THAS_HUMAN	NA	NA	6.986391	6.986391
P24666	158	sp|P24666|PPAC_HUMAN	7.885327	7.445604	7.889718	7.889718
P24723	683	sp|P24723|KPCL_HUMAN	NA	NA	6.101091	6.101091
P24752	427	sp|P24752|THIL_HUMAN	7.31492	7.474268	7.8207035	7.8207035
P24821	2201	sp|P24821|TENA_HUMAN	NA	6.1555635	6.406917	6.406917
P24844	172	sp|P24844|MYL9_HUMAN	6.925671	6.706026	7.3939265	7.3939265
P24863	283	sp|P24863|CCNC_HUMAN	NA	NA	6.60565	6.60565
P24864	410	sp|P24864|CCNE1_HUMAN	NA	6.758094	NA	6.758094
P24928	1970	sp|P24928|RPB1_HUMAN	6.756758	7.185853	7.086176	7.185853
P24941	298	sp|P24941|CDK2_HUMAN	7.213221	6.706633	7.688989	7.688989
P25054	2843	sp|P25054|APC_HUMAN	NA	NA	6.4832145	6.4832145
P25098	689	sp|P25098|ARBK1_HUMAN	6.532347	6.677397	6.416944	6.677397
P25205	808	sp|P25205|MCM3_HUMAN	7.316979	7.674218	8.102674	8.102674
P25208	207	sp|P25208|NFYB_HUMAN	6.903719	6.802268	6.9480515	6.9480515
P25325	297	sp|P25325|THTM_HUMAN	7.726866	7.485849	8.003116	8.003116
P25398	132	sp|P25398|RS12_HUMAN	8.42888	8.158513	8.23396	8.42888
P25440	801	sp|P25440|BRD2_HUMAN	6.2106875	6.589134	6.769139	6.769139
P25445	335	sp|P25445|TNR6_HUMAN	6.499671	NA	7.354723	7.354723
P25490	414	sp|P25490|TYY1_HUMAN	6.516125	5.42167	7.2989845	7.2989845
P25685	340	sp|P25685|DNJB1_HUMAN	7.390409	7.528454	8.032175	8.032175
P25686	324	sp|P25686|DNJB2_HUMAN	6.5788255	6.9938625	7.2721055	7.2721055
P25705	553	sp|P25705|ATPA_HUMAN	7.85906	7.917726	8.580399	8.580399
P25786	263	sp|P25786|PSA1_HUMAN	7.74507	7.8750565	7.9018875	7.9018875
P25787	234	sp|P25787|PSA2_HUMAN	7.845991	7.892117	8.174321	8.174321
P25788	255	sp|P25788|PSA3_HUMAN	7.195429	7.771382	8.214499	8.214499
P25789	261	sp|P25789|PSA4_HUMAN	7.374143	8.0580225	8.1925615	8.1925615
P25942	277	sp|P25942|TNR5_HUMAN	NA	NA	6.963037	6.963037
P25963	317	sp|P25963|IKBA_HUMAN	NA	NA	5.894831	5.894831
P26006	1051	sp|P26006|ITA3_HUMAN	7.060622	7.4892035	7.53824	7.53824
P26038	577	sp|P26038|MOES_HUMAN	7.8314865	7.879761	8.241671	8.241671
P26196	483	sp|P26196|DDX6_HUMAN	7.042422	7.627047	7.955365	7.955365
P26232	953	sp|P26232|CTNA2_HUMAN	6.264322	7.57229	7.595329	7.595329
P26358	1616	sp|P26358|DNMT1_HUMAN	6.909782	6.961431	7.1576335	7.1576335
P26368	475	sp|P26368|U2AF2_HUMAN	6.867083	7.7254525	8.326061	8.326061
P26373	211	sp|P26373|RL13_HUMAN	7.7366165	8.287556	8.593895	8.593895
P26374	656	sp|P26374|RAE2_HUMAN	7.097639	6.343724	6.8709285	7.097639
P26440	423	sp|P26440|IVD_HUMAN	6.978792	NA	7.3122665	7.3122665
P26447	101	sp|P26447|S10A4_HUMAN	6.7619295	6.555215	7.490771	7.490771
P26572	445	sp|P26572|MGAT1_HUMAN	6.453138	6.523382	6.645452	6.645452
P26583	209	sp|P26583|HMGB2_HUMAN	7.939344	8.097466	8.348256	8.348256
P26599	531	sp|P26599|PTBP1_HUMAN	7.766376	7.678455	8.398843	8.398843
P26639	723	sp|P26639|SYTC_HUMAN	7.886198	8.044931	8.487181	8.487181
P26640	1264	sp|P26640|SYVC_HUMAN	7.615107	7.596542	7.795483	7.795483
P26641	437	sp|P26641|EF1G_HUMAN	7.974883	8.410996	8.742938	8.742938
P26885	142	sp|P26885|FKBP2_HUMAN	7.391254	7.604152	7.8125035	7.8125035
P27105	288	sp|P27105|STOM_HUMAN	6.74813	5.917722	7.30311	7.30311
P27144	223	sp|P27144|KAD4_HUMAN	7.236814	6.953636	7.518475	7.518475
P27338	520	sp|P27338|AOFB_HUMAN	NA	NA	7.205772	7.205772
P27348	245	sp|P27348|1433T_HUMAN	7.90246	7.831135	7.766887	7.90246
P27361	379	sp|P27361|MK03_HUMAN	6.815989	6.461874	7.217352	7.217352
P27448	753	sp|P27448|MARK3_HUMAN	NA	NA	6.329777	6.329777
P27449	155	sp|P27449|VATL_HUMAN	7.34602	7.428734	7.657897	7.657897
P27487	766	sp|P27487|DPP4_HUMAN	NA	7.907755	NA	7.907755
P27540	789	sp|P27540|ARNT_HUMAN	NA	5.806682	NA	5.806682
P27635	214	sp|P27635|RL10_HUMAN	7.108971	6.663012	6.581972	7.108971
P27694	616	sp|P27694|RFA1_HUMAN	6.969528	7.453838	7.261239	7.453838
P27695	318	sp|P27695|APEX1_HUMAN	7.509686	7.964886	8.191199	8.191199
P27701	267	sp|P27701|CD82_HUMAN	NA	6.048325	6.836736	6.836736
P27707	260	sp|P27707|DCK_HUMAN	6.677367	6.9792705	7.656127	7.656127
P27708	2225	sp|P27708|PYR1_HUMAN	7.3530565	7.50927	7.642506	7.642506
P27797	417	sp|P27797|CALR_HUMAN	7.6605495	8.385977	7.775018	8.385977
P27816	1152	sp|P27816|MAP4_HUMAN	7.5074585	7.6529315	7.890125	7.890125
P27824	592	sp|P27824|CALX_HUMAN	7.557423	7.63809	7.776222	7.776222
P27986	724	sp|P27986|P85A_HUMAN	6.023414	NA	6.641794	6.641794
P28062	276	sp|P28062|PSB8_HUMAN	7.145673	7.432215	7.542415	7.542415
P28065	219	sp|P28065|PSB9_HUMAN	6.586942	NA	NA	6.586942
P28066	241	sp|P28066|PSA5_HUMAN	7.9490575	7.946899	8.407438	8.407438
P28070	264	sp|P28070|PSB4_HUMAN	7.750555	7.993091	8.091949	8.091949
P28072	239	sp|P28072|PSB6_HUMAN	8.07445	7.723418	7.925049	8.07445
P28074	263	sp|P28074|PSB5_HUMAN	7.872091	7.971252	7.9427675	7.971252
P28288	659	sp|P28288|ABCD3_HUMAN	7.056295	6.969849	7.668293	7.668293
P28289	359	sp|P28289|TMOD1_HUMAN	5.9694025	NA	6.314204	6.314204
P28290	1259	sp|P28290|SSFA2_HUMAN	6.0731085	6.066847	6.5062295	6.5062295
P28300	417	sp|P28300|LYOX_HUMAN	6.1791085	6.374125	6.580925	6.580925
P28330	430	sp|P28330|ACADL_HUMAN	6.409493	6.142108	6.9008665	6.9008665
P28331	727	sp|P28331|NDUS1_HUMAN	6.7269475	7.233559	7.506594	7.506594
P28340	1107	sp|P28340|DPOD1_HUMAN	6.7872765	6.8757895	7.178009	7.178009
P28370	1054	sp|P28370|SMCA1_HUMAN	6.379902	6.8832545	7.194672	7.194672
P28482	360	sp|P28482|MK01_HUMAN	7.419996	7.699599	8.223911	8.223911
P28676	217	sp|P28676|GRAN_HUMAN	6.233047	7.0619185	7.384891	7.384891
P28702	533	sp|P28702|RXRB_HUMAN	NA	7.160889	6.762731	7.160889
P28715	1186	sp|P28715|ERCC5_HUMAN	5.339113	5.875741	6.1949925	6.1949925
P28749	1068	sp|P28749|RBL1_HUMAN	NA	6.652749	6.396739	6.652749
P28799	593	sp|P28799|GRN_HUMAN	6.5759765	NA	NA	6.5759765
P28827	1452	sp|P28827|PTPRM_HUMAN	NA	NA	6.1936675	6.1936675
P28838	519	sp|P28838|AMPL_HUMAN	7.317896	7.507222	7.9221005	7.9221005
P28906	385	sp|P28906|CD34_HUMAN	NA	NA	7.00169	7.00169
P29034	98	sp|P29034|S10A2_HUMAN	6.864919	7.349491	7.83217	7.83217
P29083	439	sp|P29083|T2EA_HUMAN	6.493277	6.5105655	6.633097	6.633097
P29084	291	sp|P29084|T2EB_HUMAN	6.322571	6.483145	6.7128085	6.7128085
P29144	1249	sp|P29144|TPP2_HUMAN	6.661455	7.008581	7.272398	7.272398
P29218	277	sp|P29218|IMPA1_HUMAN	7.2433775	7.621747	7.6578255	7.6578255
P29279	349	sp|P29279|CTGF_HUMAN	6.848946	6.5790275	6.8790455	6.8790455
P29317	976	sp|P29317|EPHA2_HUMAN	6.976263	6.901709	7.65741	7.65741
P29323	1055	sp|P29323|EPHB2_HUMAN	6.2284975	6.216456	6.907414	6.907414
P29353	583	sp|P29353|SHC1_HUMAN	7.034428	6.864089	7.2202225	7.2202225
P29372	298	sp|P29372|3MG_HUMAN	6.7888105	7.0992115	7.601213	7.601213
P29373	138	sp|P29373|RABP2_HUMAN	7.089805	7.209274	7.631423	7.631423
P29374	1257	sp|P29374|ARI4A_HUMAN	5.455758	5.796394	6.4698475	6.4698475
P29375	1690	sp|P29375|KDM5A_HUMAN	6.109714	6.240724	6.808076	6.808076
P29401	623	sp|P29401|TKT_HUMAN	7.992377	7.85226	8.322778	8.322778
P29558	406	sp|P29558|RBMS1_HUMAN	7.558481	7.030721	7.124765	7.558481
P29590	882	sp|P29590|PML_HUMAN	6.838408	6.8671905	7.303607	7.303607
P29692	281	sp|P29692|EF1D_HUMAN	8.0524285	8.5627875	8.788159	8.788159
P29992	359	sp|P29992|GNA11_HUMAN	6.939529	7.470602	7.2168965	7.470602
P30038	563	sp|P30038|AL4A1_HUMAN	6.971489	7.0681675	7.108453	7.108453
P30039	288	sp|P30039|PBLD_HUMAN	NA	6.112772	6.265784	6.265784
P30040	261	sp|P30040|ERP29_HUMAN	7.937708	7.918266	8.48193	8.48193
P30041	224	sp|P30041|PRDX6_HUMAN	7.899109	8.092404	8.601825	8.601825
P30042	268	sp|P30042|ES1_HUMAN	6.946832	7.136404	7.752172	7.752172
P30043	206	sp|P30043|BLVRB_HUMAN	7.734672	7.816891	8.283309	8.283309
P30044	214	sp|P30044|PRDX5_HUMAN	7.972961	8.261998	8.690692	8.690692
P30046	118	sp|P30046|DOPD_HUMAN	7.242168	NA	8.506599	8.506599
P30048	256	sp|P30048|PRDX3_HUMAN	7.896499	8.187239	8.513391	8.513391
P30049	168	sp|P30049|ATPD_HUMAN	7.8395575	7.890902	7.755867	7.890902
P30050	165	sp|P30050|RL12_HUMAN	8.058008	8.127752	8.308687	8.308687
P30084	290	sp|P30084|ECHM_HUMAN	7.550693	7.250527	7.717604	7.717604
P30085	196	sp|P30085|KCY_HUMAN	7.452277	7.708533	7.730459	7.730459
P30086	187	sp|P30086|PEBP1_HUMAN	8.042733	7.95651	8.401952	8.401952
P30101	505	sp|P30101|PDIA3_HUMAN	7.739735	8.159146	8.402948	8.402948
P30153	589	sp|P30153|2AAA_HUMAN	7.694518	7.794633	8.334132	8.334132
P30154	601	sp|P30154|2AAB_HUMAN	7.063341	7.291458	7.377533	7.377533
P30260	824	sp|P30260|CDC27_HUMAN	6.810448	6.5613805	6.984653	6.984653
P30279	289	sp|P30279|CCND2_HUMAN	6.180985	6.537907	6.5814535	6.5814535
P30281	292	sp|P30281|CCND3_HUMAN	5.261667	6.012879	6.362388	6.362388
P30291	646	sp|P30291|WEE1_HUMAN	NA	5.880042	6.818648	6.818648
P30305	580	sp|P30305|MPIP2_HUMAN	NA	NA	6.251225	6.251225
P30307	473	sp|P30307|MPIP3_HUMAN	NA	NA	6.620011	6.620011
P30405	207	sp|P30405|PPIF_HUMAN	7.493373	7.324981	7.500703	7.500703
P30414	1462	sp|P30414|NKTR_HUMAN	NA	NA	7.360934	7.360934
P30419	496	sp|P30419|NMT1_HUMAN	6.965423	7.331874	7.684145	7.684145
P30481	362	sp|P30481|1B44_HUMAN	6.557507	7.274504	7.227064	7.274504
P30504	366	sp|P30504|1C04_HUMAN	6.631393	NA	NA	6.631393
P30519	316	sp|P30519|HMOX2_HUMAN	7.310332	7.327543	7.3734495	7.3734495
P30520	456	sp|P30520|PURA2_HUMAN	7.660125	7.611012	7.844937	7.844937
P30530	894	sp|P30530|UFO_HUMAN	6.772586	6.741912	6.853594	6.853594
P30533	357	sp|P30533|AMRP_HUMAN	7.188028	7.301486	7.793325	7.793325
P30536	169	sp|P30536|TSPO_HUMAN	7.7946405	7.2363595	7.985741	7.985741
P30566	484	sp|P30566|PUR8_HUMAN	7.44137	7.314773	7.854218	7.854218
P30613	574	sp|P30613|KPYR_HUMAN	NA	5.639735	NA	5.639735
P30622	1438	sp|P30622|CLIP1_HUMAN	6.763548	6.665803	7.1043495	7.1043495
P30626	198	sp|P30626|SORCN_HUMAN	7.500689	7.824449	7.997753	7.997753
P30711	240	sp|P30711|GSTT1_HUMAN	6.870597	7.540234	7.696749	7.696749
P30740	379	sp|P30740|ILEU_HUMAN	6.459935	7.0084635	7.492048	7.492048
P30825	629	sp|P30825|CTR1_HUMAN	6.225542	7.555143	7.422222	7.555143
P30837	517	sp|P30837|AL1B1_HUMAN	7.345903	7.0533285	7.6752265	7.6752265
P30876	1174	sp|P30876|RPB2_HUMAN	6.894936	7.246135	7.36797	7.36797
P31040	664	sp|P31040|SDHA_HUMAN	7.379859	7.002295	7.440224	7.440224
P31146	461	sp|P31146|COR1A_HUMAN	6.291413	NA	6.4823535	6.4823535
P31150	447	sp|P31150|GDIA_HUMAN	7.404291	7.392559	7.8036155	7.8036155
P31152	587	sp|P31152|MK04_HUMAN	NA	NA	6.936494	6.936494
P31153	395	sp|P31153|METK2_HUMAN	7.39936	7.727899	8.1277025	8.1277025
P31323	418	sp|P31323|KAP3_HUMAN	NA	6.204298	6.67352	6.67352
P31327	1500	sp|P31327|CPSM_HUMAN	5.9790125	6.522185	6.6576495	6.6576495
P31350	389	sp|P31350|RIR2_HUMAN	7.5281065	7.162774	7.8439315	7.8439315
P31431	198	sp|P31431|SDC4_HUMAN	6.1146305	6.50201	6.794795	6.794795
P31483	386	sp|P31483|TIA1_HUMAN	7.055006	6.583062	7.200166	7.200166
P31641	620	sp|P31641|SC6A6_HUMAN	6.514614	6.662087	7.075948	7.075948
P31689	397	sp|P31689|DNJA1_HUMAN	7.580914	7.551425	8.0806315	8.0806315
P31749	480	sp|P31749|AKT1_HUMAN	6.443482	6.508337	7.346764	7.346764
P31751	481	sp|P31751|AKT2_HUMAN	6.585072	6.51387	7.298999	7.298999
P31930	480	sp|P31930|QCR1_HUMAN	7.2743125	7.591499	7.929261	7.929261
P31937	336	sp|P31937|3HIDH_HUMAN	6.8246805	6.7770855	7.424195	7.424195
P31939	592	sp|P31939|PUR9_HUMAN	7.399466	7.5705405	7.916959	7.916959
P31942	346	sp|P31942|HNRH3_HUMAN	7.321184	7.437212	8.125843	8.125843
P31943	449	sp|P31943|HNRH1_HUMAN	7.724522	8.176864	8.090364	8.176864
P31946	246	sp|P31946|1433B_HUMAN	8.506925	8.678236	7.946567	8.678236
P31947	248	sp|P31947|1433S_HUMAN	7.7255775	7.821481	8.595903	8.595903
P31948	543	sp|P31948|STIP1_HUMAN	7.577331	8.0339835	8.204636	8.204636
P31949	105	sp|P31949|S10AB_HUMAN	7.819123	7.8086505	7.5565085	7.819123
P32004	1257	sp|P32004|L1CAM_HUMAN	5.976327	6.5559485	6.7878885	6.7878885
P32019	993	sp|P32019|I5P2_HUMAN	5.37965	NA	NA	5.37965
P32119	198	sp|P32119|PRDX2_HUMAN	7.803553	7.920258	7.399368	7.920258
P32121	409	sp|P32121|ARRB2_HUMAN	5.570099	5.8253745	6.97002	6.97002
P32298	578	sp|P32298|GRK4_HUMAN	4.845984	NA	5.572104	5.572104
P32320	146	sp|P32320|CDD_HUMAN	6.554004	NA	NA	6.554004
P32321	178	sp|P32321|DCTD_HUMAN	6.627417	6.466867	7.5530695	7.5530695
P32322	319	sp|P32322|P5CR1_HUMAN	7.758816	8.086146	8.0548945	8.086146
P32456	591	sp|P32456|GBP2_HUMAN	NA	6.209756	7.567109	7.567109
P32780	548	sp|P32780|TF2H1_HUMAN	6.372267	6.5211605	6.7326835	6.7326835
P32856	288	sp|P32856|STX2_HUMAN	NA	NA	7.268742	7.268742
P32929	405	sp|P32929|CGL_HUMAN	6.849186	6.376504	6.7374135	6.849186
P32942	547	sp|P32942|ICAM3_HUMAN	NA	NA	6.3365	6.3365
P32969	192	sp|P32969|RL9_HUMAN	7.9751845	7.760264	8.351081	8.351081
P32970	193	sp|P32970|CD70_HUMAN	6.929587	6.730306	7.1663645	7.1663645
P33121	698	sp|P33121|ACSL1_HUMAN	6.565121	6.740274	7.249687	7.249687
P33176	963	sp|P33176|KINH_HUMAN	6.924232	7.414137	7.474726	7.474726
P33240	577	sp|P33240|CSTF2_HUMAN	7.348115	7.021479	7.341276	7.348115
P33316	252	sp|P33316|DUT_HUMAN	8.072769	7.7569065	7.871328	8.072769
P33527	1531	sp|P33527|MRP1_HUMAN	5.90254	6.325905	6.531492	6.531492
P33552	79	sp|P33552|CKS2_HUMAN	7.730411	7.9001375	8.218693	8.218693
P33897	745	sp|P33897|ABCD1_HUMAN	6.1436585	6.272376	6.424816	6.424816
P33908	653	sp|P33908|MA1A1_HUMAN	6.329011	5.63798	6.554235	6.554235
P33981	857	sp|P33981|TTK_HUMAN	6.027098	6.445666	6.195413	6.445666
P33991	863	sp|P33991|MCM4_HUMAN	7.0818675	7.5896735	7.467312	7.5896735
