Cluster	category	obsRatio	expRatio	bgRatio	foldEnrich	pvalue	numDEInCat	numInCat	Foreground	Background	geneID	geneNames
F13	Nucleotide-bd_a/b_plait_sf	73/476	12/476	173/7398	6.08	2.09694192303844e-30	73	173	476	7398	O14979/O15042/O43251/O43390/O60506/O75494/P05455/P07910/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62750/P62995/P78332/P84103/P98175/P98179/Q01081/Q01085/Q01844/Q05519/Q07955/Q13148/Q13151/Q13242/Q13247/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15233/Q15424/Q15427/Q15717/Q16629/Q4G0J3/Q76FK4/Q86V81/Q8IXT5/Q8N684/Q8NDT2/Q8WXA9/Q92804/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BWF3/Q9BXP5/Q9BY77/Q9BYG3/Q9NTZ6/Q9NW13/Q9NWH9/Q9P2K5/Q9UKM9/Q9UKV3/Q9Y4C8	HNRNPDL/U2SURP/RBFOX2/HNRNPR/SYNCRIP/SRSF10/SSB/HNRNPC/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/RPL23A/TRA2B/RBM6/SRSF3/RBM10/RBM3/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/TARDBP/HNRNPA0/SRSF9/SRSF6/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/NONO/SAFB/SF3B4/ELAVL1/SRSF7/LARP7/NOL8/ALYREF/RBM12B/CPSF7/RBM15B/SREK1/TAF15/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/RBM4/SRRT/POLDIP3/NIFK/RBM12/RBM28/SLTM/MYEF2/RALY/ACIN1/RBM19
F13	Helicase_ATP-bd	23/476	7/476	95/7398	3.29	1.04878461469796e-08	23	95	476	7398	O14646/O14647/O43143/O60264/O75643/P17844/P51532/Q08211/Q14839/Q6ZRS2/Q7L014/Q7L2E3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93	CHD1/CHD2/DHX15/SMARCA5/SNRNP200/DDX5/SMARCA4/DHX9/CHD4/SRCAP/DDX46/DHX30/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56
F13	Helicase_C	23/476	6/476	93/7398	3.83	1.14008857189264e-08	23	93	476	7398	O14646/O14647/O43143/O60264/O75643/P17844/P51532/Q08211/Q14839/Q6ZRS2/Q7L014/Q7L2E3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93	CHD1/CHD2/DHX15/SMARCA5/SNRNP200/DDX5/SMARCA4/DHX9/CHD4/SRCAP/DDX46/DHX30/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56
F13	SAP_dom	11/476	2/476	18/7398	5.5	2.68876414100768e-08	11	18	476	7398	P12956/P35659/Q00839/Q13435/Q14151/Q15424/Q1KMD3/Q8IX12/Q9BUJ2/Q9NWH9/Q9UKV3	XRCC6/DEK/HNRNPU/SF3B2/SAFB2/SAFB/HNRNPUL2/CCAR1/HNRNPUL1/SLTM/ACIN1
F13	SAP_dom_sf	11/476	2/476	20/7398	5.5	1.28296663217185e-07	11	20	476	7398	P12956/P35659/Q00839/Q13435/Q14151/Q15424/Q1KMD3/Q8IX12/Q9BUJ2/Q9NWH9/Q9UKV3	XRCC6/DEK/HNRNPU/SF3B2/SAFB2/SAFB/HNRNPUL2/CCAR1/HNRNPUL1/SLTM/ACIN1
F13	Bromodomain	11/476	3/476	36/7398	3.67	2.22970024187724e-07	11	36	476	7398	O60885/P25440/P51532/Q03164/Q12830/Q13263/Q15059/Q6PL18/Q8WWQ0/Q9UIG0/Q9ULU4	BRD4/BRD2/SMARCA4/KMT2A/BPTF/TRIM28/BRD3/ATAD2/PHIP/BAZ1B/ZMYND8
F13	Bromodomain-like_sf	11/476	3/476	37/7398	3.67	3.73077456430667e-07	11	37	476	7398	O60885/P25440/P51532/Q03164/Q12830/Q13263/Q15059/Q6PL18/Q8WWQ0/Q9UIG0/Q9ULU4	BRD4/BRD2/SMARCA4/KMT2A/BPTF/TRIM28/BRD3/ATAD2/PHIP/BAZ1B/ZMYND8
F13	ARM-type_fold	37/476	18/476	274/7398	2.06	5.15664431855193e-07	37	274	476	7398	O00203/O14980/O60287/O60716/O60763/O75533/O75691/P52292/P53618/P55060/P63010/P78527/Q00610/Q03701/Q13200/Q14008/Q14669/Q14974/Q15021/Q29RF7/Q53EL6/Q5C9Z4/Q5JTH9/Q5T4S7/Q5UIP0/Q6KC79/Q7Z6Z7/Q8IZL8/Q8TEX9/Q92616/Q9BPX3/Q9BQG0/Q9BZZ5/Q9H583/Q9HCG8/Q9NXF1/Q9Y6E2	AP3B1/XPO1/URB1/CTNND1/USO1/SF3B1/UTP20/KPNA2/COPB1/CSE1L/AP2B1/PRKDC/CLTC/CEBPZ/PSMD2/CKAP5/TRIP12/KPNB1/NCAPD2/PDS5A/PDCD4/NOM1/RRP12/UBR4/RIF1/NIPBL/HUWE1/PELP1/IPO4/GCN1/NCAPG/MYBBP1A/API5/HEATR1/CWC22/TEX10/BZW2
F13	SPOC_C	4/476	1/476	5/7398	4	1.16940122311863e-06	4	5	476	7398	Q8NDT2/Q92576/Q96T37/Q9BTC0	RBM15B/PHF3/RBM15/DIDO1
F13	DEAD/DEAH_box_helicase_dom	17/476	4/476	59/7398	4.25	2.69233669023853e-06	17	59	476	7398	O43143/O75643/P17844/Q08211/Q7L014/Q7L2E3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93	DHX15/SNRNP200/DDX5/DHX9/DDX46/DHX30/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56
F13	RNA_helicase_DEAD_Q_motif	13/476	3/476	33/7398	4.33	4.29632806291643e-06	13	33	476	7398	P17844/Q7L014/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93	DDX5/DDX46/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56
F13	NET_dom	3/476	1/476	3/7398	3	1.10822172623738e-05	3	3	476	7398	O60885/P25440/Q15059	BRD4/BRD2/BRD3
F13	NET_sf	3/476	1/476	3/7398	3	1.10822172623738e-05	3	3	476	7398	O60885/P25440/Q15059	BRD4/BRD2/BRD3
F13	Bromodomain_CS	7/476	2/476	24/7398	3.5	1.7648376016862e-05	7	24	476	7398	O60885/P25440/P51532/Q12830/Q15059/Q8WWQ0/Q9UIG0	BRD4/BRD2/SMARCA4/BPTF/BRD3/PHIP/BAZ1B
F13	Znf_PHD-finger	9/476	4/476	56/7398	2.25	4.05091824733852e-05	9	56	476	7398	O14686/Q03164/Q12830/Q13263/Q14839/Q92576/Q9BTC0/Q9UIG0/Q9ULU4	KMT2D/KMT2A/BPTF/TRIM28/CHD4/PHF3/DIDO1/BAZ1B/ZMYND8
F13	G_patch_dom	6/476	2/476	20/7398	3	5.26882514893099e-05	6	20	476	7398	P18583/P78332/P98175/Q8IWX8/Q8IX01/Q9UKJ3	SON/RBM6/RBM10/CHERP/SUGP2/GPATCH8
F14	RBD_domain_sf	87/560	14/560	174/7398	6.21	1.13932450333031e-37	87	174	560	7398	O14979/O15042/O43390/O43719/O60506/O75494/O75821/P05455/P07910/P08621/P09012/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P33240/P35637/P42696/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P78332/P84103/P98175/Q01081/Q01085/Q01844/Q05519/Q07955/Q13148/Q13151/Q13242/Q13247/Q13283/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15020/Q15233/Q15424/Q15427/Q15717/Q16629/Q16630/Q4G0J3/Q5T8P6/Q76FK4/Q86U42/Q86V81/Q8IXT5/Q8N684/Q8NDT2/Q8WUA2/Q8WVV9/Q8WXA9/Q92804/Q96E39/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BQ39/Q9BWF3/Q9BXP5/Q9BY77/Q9BYG3/Q9NR30/Q9NW13/Q9NWH9/Q9UKM9/Q9UKV3/Q9Y3B4/Q9Y4C8/Q9Y6M1	HNRNPDL/U2SURP/HNRNPR/HTATSF1/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/SNRNP70/SNRPA/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/CSTF2/FUS/RBM34/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/RBM6/SRSF3/RBM10/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/TARDBP/HNRNPA0/SRSF9/SRSF6/G3BP1/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/SART3/NONO/SAFB/SF3B4/ELAVL1/SRSF7/CPSF6/LARP7/RBM26/NOL8/PABPN1/ALYREF/RBM12B/CPSF7/RBM15B/PPIL4/HNRNPLL/SREK1/TAF15/RBMXL1/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/DDX50/RBM4/SRRT/POLDIP3/NIFK/DDX21/RBM28/SLTM/RALY/ACIN1/SF3B6/RBM19/IGF2BP2
F14	RRM_dom	83/560	12/560	153/7398	6.92	2.65176528188024e-37	83	153	560	7398	O14979/O15042/O43390/O43719/O60506/O75494/O75821/P05455/P07910/P08621/P09012/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P33240/P35637/P42696/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P78332/P84103/P98175/Q01081/Q01085/Q01844/Q05519/Q07955/Q13148/Q13151/Q13242/Q13247/Q13283/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15020/Q15233/Q15424/Q15427/Q15717/Q16629/Q16630/Q4G0J3/Q5T8P6/Q76FK4/Q86U42/Q86V81/Q8IXT5/Q8N684/Q8NDT2/Q8WUA2/Q8WVV9/Q8WXA9/Q92804/Q96E39/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BWF3/Q9BY77/Q9BYG3/Q9NW13/Q9NWH9/Q9UKM9/Q9Y3B4/Q9Y4C8/Q9Y6M1	HNRNPDL/U2SURP/HNRNPR/HTATSF1/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/SNRNP70/SNRPA/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/CSTF2/FUS/RBM34/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/RBM6/SRSF3/RBM10/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/TARDBP/HNRNPA0/SRSF9/SRSF6/G3BP1/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/SART3/NONO/SAFB/SF3B4/ELAVL1/SRSF7/CPSF6/LARP7/RBM26/NOL8/PABPN1/ALYREF/RBM12B/CPSF7/RBM15B/PPIL4/HNRNPLL/SREK1/TAF15/RBMXL1/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/RBM4/POLDIP3/NIFK/RBM28/SLTM/RALY/SF3B6/RBM19/IGF2BP2
F14	Nucleotide-bd_a/b_plait_sf	85/560	14/560	173/7398	6.07	5.28220517208653e-36	85	173	560	7398	O14979/O15042/O43390/O43719/O60506/O75494/O75821/P05455/P07910/P08621/P09012/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P33240/P35637/P42696/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62750/P62995/P78332/P84103/P98175/Q01081/Q01085/Q01844/Q05519/Q07955/Q13148/Q13151/Q13242/Q13247/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15020/Q15233/Q15424/Q15427/Q15717/Q16629/Q16630/Q4G0J3/Q5T8P6/Q76FK4/Q86U42/Q86V81/Q8IXT5/Q8N684/Q8NDT2/Q8WUA2/Q8WVV9/Q8WXA9/Q92804/Q96E39/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BWF3/Q9BXP5/Q9BY77/Q9BYG3/Q9NW13/Q9NWH9/Q9UKM9/Q9UKV3/Q9Y3B4/Q9Y4C8/Q9Y6M1	HNRNPDL/U2SURP/HNRNPR/HTATSF1/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/SNRNP70/SNRPA/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/CSTF2/FUS/RBM34/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/RPL23A/TRA2B/RBM6/SRSF3/RBM10/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/TARDBP/HNRNPA0/SRSF9/SRSF6/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/SART3/NONO/SAFB/SF3B4/ELAVL1/SRSF7/CPSF6/LARP7/RBM26/NOL8/PABPN1/ALYREF/RBM12B/CPSF7/RBM15B/PPIL4/HNRNPLL/SREK1/TAF15/RBMXL1/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/RBM4/SRRT/POLDIP3/NIFK/RBM28/SLTM/RALY/ACIN1/SF3B6/RBM19/IGF2BP2
F14	ARM-type_fold	46/560	21/560	274/7398	2.19	1.92250091837419e-09	46	274	560	7398	O00203/O00410/O14980/O60287/O60763/O75533/O75691/P50851/P52292/P53618/P55060/P63010/P78527/Q00610/Q03701/Q04637/Q09161/Q13200/Q14008/Q14669/Q14974/Q15021/Q29RF7/Q5C9Z4/Q5H9R7/Q5JTH9/Q5SRE5/Q5T4S7/Q5UIP0/Q6KC79/Q7Z6Z7/Q86VP6/Q8IZL8/Q8TCG1/Q8TEX9/Q92616/Q92973/Q93008/Q9BPX3/Q9BQG0/Q9BZZ5/Q9H583/Q9HAV4/Q9HCG8/Q9NXF1/Q9UBB4	AP3B1/IPO5/XPO1/URB1/USO1/SF3B1/UTP20/LRBA/KPNA2/COPB1/CSE1L/AP2B1/PRKDC/CLTC/CEBPZ/EIF4G1/NCBP1/PSMD2/CKAP5/TRIP12/KPNB1/NCAPD2/PDS5A/NOM1/PPP6R3/RRP12/NUP188/UBR4/RIF1/NIPBL/HUWE1/CAND1/PELP1/CIP2A/IPO4/GCN1/TNPO1/USP9X/NCAPG/MYBBP1A/API5/HEATR1/XPO5/CWC22/TEX10/ATXN10
F14	Helicase_ATP-bd	25/560	8/560	95/7398	3.12	1.04485775167771e-08	25	95	560	7398	O14646/O14647/O43143/O60264/O75643/P42285/P46063/Q08211/Q14839/Q7L014/Q7L2E3/Q86XP3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93/Q9UHI6/Q9Y2R4	CHD1/CHD2/DHX15/SMARCA5/SNRNP200/MTREX/RECQL/DHX9/CHD4/DDX46/DHX30/DDX42/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56/DDX20/DDX52
F14	Helicase_C	25/560	8/560	93/7398	3.12	1.1123016166707e-08	25	93	560	7398	O14646/O14647/O43143/O60264/O75643/P42285/P46063/Q08211/Q14839/Q7L014/Q7L2E3/Q86XP3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93/Q9UHI6/Q9Y2R4	CHD1/CHD2/DHX15/SMARCA5/SNRNP200/MTREX/RECQL/DHX9/CHD4/DDX46/DHX30/DDX42/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56/DDX20/DDX52
F14	DEAD/DEAH_box_helicase_dom	21/560	5/560	59/7398	4.2	4.78156251201306e-08	21	59	560	7398	O43143/O75643/P42285/P46063/Q08211/Q7L014/Q7L2E3/Q86XP3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93/Q9UHI6/Q9Y2R4	DHX15/SNRNP200/MTREX/RECQL/DHX9/DDX46/DHX30/DDX42/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56/DDX20/DDX52
F14	SAP_dom	11/560	2/560	18/7398	5.5	1.38292009208607e-07	11	18	560	7398	P12956/P35659/Q00839/Q13435/Q14151/Q15424/Q1KMD3/Q8IX12/Q9BUJ2/Q9NWH9/Q9UKV3	XRCC6/DEK/HNRNPU/SF3B2/SAFB2/SAFB/HNRNPUL2/CCAR1/HNRNPUL1/SLTM/ACIN1
F14	RNA_helicase_DEAD_Q_motif	15/560	3/560	33/7398	5	6.68242165918471e-07	15	33	560	7398	Q7L014/Q86XP3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9NR30/Q9NVP1/Q9NY93/Q9UHI6/Q9Y2R4	DDX46/DDX42/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DDX21/DDX18/DDX56/DDX20/DDX52
F14	SAP_dom_sf	11/560	2/560	20/7398	5.5	6.70184845339858e-07	11	20	560	7398	P12956/P35659/Q00839/Q13435/Q14151/Q15424/Q1KMD3/Q8IX12/Q9BUJ2/Q9NWH9/Q9UKV3	XRCC6/DEK/HNRNPU/SF3B2/SAFB2/SAFB/HNRNPUL2/CCAR1/HNRNPUL1/SLTM/ACIN1
F14	SPOC_C	4/560	1/560	5/7398	4	2.12810268964332e-06	4	5	560	7398	Q8NDT2/Q92576/Q96T37/Q9BTC0	RBM15B/PHF3/RBM15/DIDO1
F14	Bromodomain	10/560	3/560	36/7398	3.33	7.65311844809979e-06	10	36	560	7398	O60885/P25440/Q03164/Q12830/Q13263/Q15059/Q6PL18/Q8WWQ0/Q9UIG0/Q9ULU4	BRD4/BRD2/KMT2A/BPTF/TRIM28/BRD3/ATAD2/PHIP/BAZ1B/ZMYND8
F14	Bromodomain-like_sf	10/560	3/560	37/7398	3.33	1.18324134148089e-05	10	37	560	7398	O60885/P25440/Q03164/Q12830/Q13263/Q15059/Q6PL18/Q8WWQ0/Q9UIG0/Q9ULU4	BRD4/BRD2/KMT2A/BPTF/TRIM28/BRD3/ATAD2/PHIP/BAZ1B/ZMYND8
F14	ARM-like	27/560	12/560	156/7398	2.25	1.26493204438481e-05	27	156	560	7398	O00410/O14980/O60763/O75533/P50851/P52292/P53618/P55060/P63010/Q13200/Q14008/Q14669/Q14974/Q15021/Q29RF7/Q5UIP0/Q6KC79/Q86VP6/Q8TCG1/Q8TEX9/Q92616/Q92973/Q9BPX3/Q9H583/Q9HAV4/Q9NXF1/Q9UBB4	IPO5/XPO1/USO1/SF3B1/LRBA/KPNA2/COPB1/CSE1L/AP2B1/PSMD2/CKAP5/TRIP12/KPNB1/NCAPD2/PDS5A/RIF1/NIPBL/CAND1/CIP2A/IPO4/GCN1/TNPO1/NCAPG/HEATR1/XPO5/TEX10/ATXN10
F14	NET_dom	3/560	1/560	3/7398	3	1.7588373195434e-05	3	3	560	7398	O60885/P25440/Q15059	BRD4/BRD2/BRD3
F14	NET_sf	3/560	1/560	3/7398	3	1.7588373195434e-05	3	3	560	7398	O60885/P25440/Q15059	BRD4/BRD2/BRD3
F15	RBD_domain_sf	91/586	14/586	174/7398	6.5	5.10848750336715e-40	91	174	586	7398	O14979/O15042/O15047/O43390/O43719/O60506/O75494/O75821/P05455/P07910/P08621/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P33240/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P78332/P84103/P98175/P98179/Q01081/Q01085/Q01844/Q05519/Q07955/Q12926/Q13148/Q13151/Q13242/Q13247/Q13283/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15020/Q15233/Q15424/Q15427/Q15717/Q16629/Q16630/Q4G0J3/Q5T8P6/Q86U42/Q86V81/Q8IXT5/Q8IY67/Q8N684/Q8NDT2/Q8WUA2/Q8WVV9/Q8WXA9/Q8WXF1/Q92804/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BQ39/Q9BTD8/Q9BWF3/Q9BXP5/Q9BY77/Q9NR30/Q9NW13/Q9NWH9/Q9P2K5/Q9UKM9/Q9UKV3/Q9UPQ9/Q9Y3B4/Q9Y4C8/Q9Y6M1	HNRNPDL/U2SURP/SETD1A/HNRNPR/HTATSF1/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/SNRNP70/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/CSTF2/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/RBM6/SRSF3/RBM10/RBM3/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/ELAVL2/TARDBP/HNRNPA0/SRSF9/SRSF6/G3BP1/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/SART3/NONO/SAFB/SF3B4/ELAVL1/SRSF7/CPSF6/LARP7/RBM26/PABPN1/ALYREF/RBM12B/RAVER1/CPSF7/RBM15B/PPIL4/HNRNPLL/SREK1/PSPC1/TAF15/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/DDX50/RBM42/RBM4/SRRT/POLDIP3/DDX21/RBM28/SLTM/MYEF2/RALY/ACIN1/TNRC6B/SF3B6/RBM19/IGF2BP2
F15	RRM_dom	86/586	13/586	153/7398	6.62	6.48632020924347e-39	86	153	586	7398	O14979/O15042/O15047/O43390/O43719/O60506/O75494/O75821/P05455/P07910/P08621/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P33240/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P78332/P84103/P98175/P98179/Q01081/Q01085/Q01844/Q05519/Q07955/Q12926/Q13148/Q13151/Q13242/Q13247/Q13283/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15020/Q15233/Q15424/Q15427/Q15717/Q16629/Q16630/Q4G0J3/Q5T8P6/Q86U42/Q86V81/Q8IXT5/Q8IY67/Q8N684/Q8NDT2/Q8WUA2/Q8WVV9/Q8WXA9/Q8WXF1/Q92804/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BTD8/Q9BWF3/Q9BY77/Q9NW13/Q9NWH9/Q9P2K5/Q9UKM9/Q9Y3B4/Q9Y4C8/Q9Y6M1	HNRNPDL/U2SURP/SETD1A/HNRNPR/HTATSF1/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/SNRNP70/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/CSTF2/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/RBM6/SRSF3/RBM10/RBM3/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/ELAVL2/TARDBP/HNRNPA0/SRSF9/SRSF6/G3BP1/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/SART3/NONO/SAFB/SF3B4/ELAVL1/SRSF7/CPSF6/LARP7/RBM26/PABPN1/ALYREF/RBM12B/RAVER1/CPSF7/RBM15B/PPIL4/HNRNPLL/SREK1/PSPC1/TAF15/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/RBM42/RBM4/POLDIP3/RBM28/SLTM/MYEF2/RALY/SF3B6/RBM19/IGF2BP2
F15	Nucleotide-bd_a/b_plait_sf	89/586	14/586	173/7398	6.36	2.65417131645242e-38	89	173	586	7398	O14979/O15042/O15047/O43390/O43719/O60506/O75494/O75821/P05455/P07910/P08621/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P33240/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62750/P62995/P78332/P84103/P98175/P98179/Q01081/Q01085/Q01844/Q05519/Q07955/Q12926/Q13148/Q13151/Q13242/Q13247/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15020/Q15233/Q15424/Q15427/Q15717/Q16629/Q16630/Q4G0J3/Q5T8P6/Q86U42/Q86V81/Q8IXT5/Q8IY67/Q8N684/Q8NDT2/Q8WUA2/Q8WVV9/Q8WXA9/Q8WXF1/Q92804/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BTD8/Q9BWF3/Q9BXP5/Q9BY77/Q9NW13/Q9NWH9/Q9P2K5/Q9UKM9/Q9UKV3/Q9UPQ9/Q9Y3B4/Q9Y4C8/Q9Y6M1	HNRNPDL/U2SURP/SETD1A/HNRNPR/HTATSF1/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/SNRNP70/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/CSTF2/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/RPL23A/TRA2B/RBM6/SRSF3/RBM10/RBM3/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/ELAVL2/TARDBP/HNRNPA0/SRSF9/SRSF6/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/SART3/NONO/SAFB/SF3B4/ELAVL1/SRSF7/CPSF6/LARP7/RBM26/PABPN1/ALYREF/RBM12B/RAVER1/CPSF7/RBM15B/PPIL4/HNRNPLL/SREK1/PSPC1/TAF15/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/RBM42/RBM4/SRRT/POLDIP3/RBM28/SLTM/MYEF2/RALY/ACIN1/TNRC6B/SF3B6/RBM19/IGF2BP2
F15	Helicase_ATP-bd	29/586	8/586	95/7398	3.62	3.19655088008653e-11	29	95	586	7398	O14646/O43143/O60264/O75643/P26196/P38919/P42285/P46063/P51532/Q08211/Q14562/Q14839/Q6P158/Q7L014/Q7L2E3/Q8TDD1/Q92499/Q92841/Q96GQ7/Q9BQ39/Q9BUQ8/Q9GZR7/Q9H0S4/Q9H2U1/Q9NR30/Q9NVP1/Q9NY93/Q9UHI6/Q9Y2R4	CHD1/DHX15/SMARCA5/SNRNP200/DDX6/EIF4A3/MTREX/RECQL/SMARCA4/DHX9/DHX8/CHD4/DHX57/DDX46/DHX30/DDX54/DDX1/DDX17/DDX27/DDX50/DDX23/DDX24/DDX47/DHX36/DDX21/DDX18/DDX56/DDX20/DDX52
